 sales  sales new-acc
 growth prof.  sales 

  93.0   96.0   97.8 
  88.8   91.8   96.8 
  95.0  100.3   99.0  
 101.3  103.8  106.8 
 102.0  107.8  103.0 
  95.8   97.5   99.3 
  95.5   99.5   99.0 
 110.8  122.0  115.3 
 102.8  108.3  103.8 
 106.8  120.5  102.0 
 103.3  109.8  104.0 
  99.5  111.8  100.3 
 103.5  112.5  107.0 
  99.5  105.5  102.3 
 100.0  107.0  102.8 
  81.5   93.5   95.0 
 101.3  105.3  102.8 
 103.3  110.8  103.5 
  95.3  104.3  103.0 
  99.5  105.3  106.3 
  88.5   95.3   95.8 
  99.3  115.0  104.3 
  87.5   92.5   95.8 
 105.3  114.0  105.3 
 107.0  121.0  109.0 
  93.3  102.0   97.8 
 106.8  118.0  107.3 
 106.8  120.0  104.8 
  92.3   90.8   99.8 
 106.3  121.0  104.5 
 106.0  119.5  110.5 
  88.3   92.8   96.8 
  96.0  103.3  100.5 
  94.3   94.5   99.0 
 106.5  121.5  110.5 
 106.5  115.5  107.0 
  92.0   99.5  103.5 
 102.0   99.8  103.3 
 108.3  122.3  108.5 
 106.8  119.0  106.8 
 102.5  109.3  103.8 
  92.5  102.5   99.3 
 102.8  113.8  106.8 
  83.3   87.3   96.3 
  94.8  101.8   99.8 
 103.5  112.0  110.8 
  89.5   96.0   97.3 
  84.3   89.8   94.3 
 104.3  109.5  106.5 
 106.0  118.5  105.0 
