51  36  50  35  42  20 21 42 32 32  47 25 36 21 27
27  20  26  17  27  67 29 56 39 41  53 32 48 46 54
37  22  41  37  30  37 25 28 31 34  38 33 42 48 49
42  36  32  34  27  42 38 36 19 35  60 41 67 53 50
27  18  33  14  29  57 32 21 30 29  37 35 45 34 46
43  32  43  35  40  39 38 54 31 28  59 37 52 36 52
41  22  36  25  38  43 20 46 42 31  67 33 61 31 50
38  21  31  20  16  35 34 43 35 42  43 27 36 33 32
36  23  27  25  28  41 23 51 27 30  64 53 62 40 43
26  31  31  32  36  39 24 35 26 32  41 34 47 37 46
